"tanggal","pm10","pm25","so2","co","o3","no2","max","critical","categori","location"
"6/1/2021","73","105","50","18","64","35","105","PM25","TIDAK SEHAT","DKI3"
"6/2/2021","68","100","54","20","76","38","100","PM25","SEDANG","DKI4"
"6/3/2021","68","93","57","20","61","41","93","PM25","SEDANG","DKI2"
"6/4/2021","66","100","48","13","76","30","100","PM25","SEDANG","DKI4"
"6/5/2021","64","93","51","20","65","38","93","PM25","SEDANG","DKI4"
"6/6/2021","63","95","50","15","72","32","95","PM25","SEDANG","DKI3"
"6/7/2021","61","86","52","15","68","31","86","PM25","SEDANG","DKI4"
"6/8/2021","70","103","53","16","72","38","103","PM25","TIDAK SEHAT","DKI4"
"6/9/2021","68","108","54","14","67","34","108","PM25","TIDAK SEHAT","DKI4"
"6/10/2021","71","108","56","23","48","47","108","PM25","TIDAK SEHAT","DKI4"
"6/11/2021","65","99","51","15","61","40","99","PM25","SEDANG","DKI4"
"6/12/2021","67","93","54","17","57","35","93","PM25","SEDANG","DKI4"
"6/13/2021","55","80","52","14","58","25","80","PM25","SEDANG","DKI4"
"6/14/2021","69","103","53","13","58","26","103","PM25","TIDAK SEHAT","DKI4"
"6/15/2021","73","114","52","13","44","29","114","PM25","TIDAK SEHAT","DKI3"
"6/16/2021","67","97","66","25","43","55","97","PM25","SEDANG","DKI5"
"6/17/2021","66","102","51","28","44","41","102","PM25","TIDAK SEHAT","DKI4"
"6/18/2021","77","102","59","23","49","45","102","PM25","TIDAK SEHAT","DKI4"
"6/19/2021","64","102","59","21","41","45","102","PM25","TIDAK SEHAT","DKI4"
"6/20/2021","81","140","66","26","44","58","140","PM25","TIDAK SEHAT","DKI4"
"6/21/2021","62","90","55","16","44","35","90","PM25","SEDANG","DKI4"
"6/22/2021","59","84","54","16","38","35","84","PM25","SEDANG","DKI4"
"6/23/2021","66","107","52","17","51","43","107","PM25","TIDAK SEHAT","DKI4"
"6/24/2021","80","119","54","19","42","52","119","PM25","TIDAK SEHAT","DKI4"
"6/25/2021","85","147","58","30","40","63","147","PM25","TIDAK SEHAT","DKI4"
"6/26/2021","67","118","53","10","53","23","118","PM25","TIDAK SEHAT","DKI4"
"6/27/2021","72","134","57","22","57","41","134","PM25","TIDAK SEHAT","DKI4"
"6/28/2021","65","117","53","18","61","38","117","PM25","TIDAK SEHAT","DKI4"
"6/29/2021","75","128","52","24","51","50","128","PM25","TIDAK SEHAT","DKI5"
"6/30/2021","79","125","57","19","55","38","125","PM25","TIDAK SEHAT","DKI4"
